season,name,position,team,adp,nn
2020,Darrell Henderson,RB,,129.0,darrell henderson
2020,Daniel Jones,QB,IND,133.0,daniel jones
2020,Boston Scott,RB,,135.0,boston scott
2020,Anthony Miller,WR,,136.0,anthony miller
2020,AJ Dillon,RB,CAR,137.0,aj dillon
2020,Preston Williams,WR,,138.0,preston williams
2020,Baker Mayfield,QB,TB,139.0,baker mayfield
2020,Jonnu Smith,TE,,140.0,jonnu smith
2020,Allen Lazard,WR,,141.0,allen lazard
2020,Dallas Goedert,TE,PHI,142.0,dallas goedert
2020,Adrian Peterson,RB,,144.0,adrian peterson
2020,Chris Thompson,RB,,145.0,chris thompson
2020,Michael Pittman,WR,PIT,146.0,michael pittman
2020,N'Keal Harry,TE,,147.0,n keal harry
2020,Blake Jarwin,TE,,148.0,blake jarwin
2020,Larry Fitzgerald,WR,,150.0,larry fitzgerald
2020,Ke'Shawn Vaughn,RB,,151.0,ke shawn vaughn
2020,Nyheim Miller-Hines,RB,,152.0,nyheim miller hines
2020,Jimmy Garoppolo,QB,,153.0,jimmy garoppolo
2020,Eric Ebron,TE,PIT,154.0,eric ebron
2020,Mike Williams,WR,,156.0,mike williams
2020,Robbie Chosen,WR,,157.0,robbie chosen
2020,Justin Jackson,RB,,160.0,justin jackson
2020,Chris Herndon,TE,,162.0,chris herndon
2020,Bryce Love,RB,,165.0,bryce love
2020,Jack Doyle,TE,IND,167.0,jack doyle
2020,Curtis Samuel,WR,,168.0,curtis samuel
2020,Ryan Tannehill,QB,,169.0,ryan tannehill
2020,Jerick McKinnon,RB,,170.0,jerick mckinnon
2020,Greg Olsen,TE,,171.0,greg olsen
2020,Philip Rivers,QB,,172.0,philip rivers
2020,Breshad Perriman,WR,,173.0,breshad perriman
2020,Drew Lock,QB,SEA,174.0,drew lock
2020,Parris Campbell,WR,,175.0,parris campbell
2020,Carlos Hyde,RB,,177.0,carlos hyde
2020,Darrel Williams,RB,,178.0,darrel williams
2020,Bryan Edwards,WR,,179.0,bryan edwards
2020,Gardner Minshew,QB,ARI,181.0,gardner minshew
2020,Kirk Cousins,QB,LV,183.0,kirk cousins
2020,Benny Snell,RB,,185.0,benny snell
2020,Hunter Renfrow,WR,,186.0,hunter renfrow
2020,LeSean McCoy,RB,,187.0,lesean mccoy
2020,Tua Tagovailoa,QB,ATL,188.0,tua tagovailoa
2020,Alshon Jeffery,WR,,189.0,alshon jeffery
2020,Dede Westbrook,WR,,190.0,dede westbrook
2020,Tee Higgins,WR,CIN,191.0,tee higgins
2020,Jimmy Graham,TE,,192.0,jimmy graham
2020,Teddy Bridgewater,QB,DET,193.0,teddy bridgewater
2020,Chase Claypool,WR,,195.0,chase claypool
2020,Randall Cobb,WR,,196.0,randall cobb
2020,Darrynton Evans,RB,,197.0,darrynton evans
2020,Antonio Brown,WR,,199.0,antonio brown
2020,Cole Beasley,WR,,200.0,cole beasley
2020,Devonta Freeman,RB,,201.0,devonta freeman
2020,James Washington,WR,,203.0,james washington
